jvm,arm,ns_per_event,bytes_per_event,breaches,updates,buffer,rep
oracle25-graaljit,plainGuarded,6.8307,0.000004,102500000,102500000,11551.2267,1
oracle25-graaljit,plainGuarded,6.7918,0.000004,102500000,102500000,11551.2267,2
oracle25-graaljit,plainGuarded,7.0053,0.000004,102500000,102500000,11551.2267,3
oracle25-graaljit,plainGuarded,6.8088,0.000004,102500000,102500000,11551.2267,4
oracle25-graaljit,plainGuarded,6.8256,0.000004,102500000,102500000,11551.2267,5
oracle25-graaljit,fluxtionStreamClock,8.0604,0.000004,102500000,102500000,11551.2267,1
oracle25-graaljit,fluxtionStreamClock,8.0527,0.000004,102500000,102500000,11551.2267,2
oracle25-graaljit,fluxtionStreamClock,7.7554,0.000004,102500000,102500000,11551.2267,3
oracle25-graaljit,fluxtionStreamClock,7.9288,0.000004,102500000,102500000,11551.2267,4
oracle25-graaljit,fluxtionStreamClock,8.0286,0.000004,102500000,102500000,11551.2267,5
oracle25-graaljit,fluxtionDefault,19.0099,0.000004,102500000,102500000,11551.2267,1
oracle25-graaljit,fluxtionDefault,18.9650,0.000004,102500000,102500000,11551.2267,2
oracle25-graaljit,fluxtionDefault,18.9489,0.000004,102500000,102500000,11551.2267,3
oracle25-graaljit,fluxtionDefault,19.0516,0.000004,102500000,102500000,11551.2267,4
oracle25-graaljit,fluxtionDefault,19.0535,0.000004,102500000,102500000,11551.2267,5
oracle25-native,plainInline,3.0251,0.000000,102500000,102500000,11551.2267,1
oracle25-native,plainInline,3.0984,0.000000,102500000,102500000,11551.2267,2
oracle25-native,plainInline,3.0309,0.000000,102500000,102500000,11551.2267,3
oracle25-native,plainInline,2.9536,0.000000,102500000,102500000,11551.2267,4
oracle25-native,plainInline,2.9849,0.000000,102500000,102500000,11551.2267,5
oracle25-native,plainGuarded,7.8737,0.000000,102500000,102500000,11551.2267,1
oracle25-native,plainGuarded,7.8845,0.000000,102500000,102500000,11551.2267,2
oracle25-native,plainGuarded,7.9011,0.000000,102500000,102500000,11551.2267,3
oracle25-native,plainGuarded,7.8408,0.000000,102500000,102500000,11551.2267,4
oracle25-native,plainGuarded,7.9020,0.000000,102500000,102500000,11551.2267,5
